"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"56","Nr3c2",-1.28810848,1.33549291416667,-2.24274766922528,0.0461209622155434,0.990621330563827,-4.48012818663168
"57","Nr4a1",-6.225203411,4.25618433966667,-2.12209822002719,0.0569806026808384,0.990621330563827,-4.49206834515494
"72","Rbpj",-0.362891511,0.588807180583333,-2.03520398715877,0.0662559555745359,0.990621330563827,-4.50071916301868
"5","Cops2",0.360027185,0.72179902425,1.97232357143978,0.0738308332153272,0.990621330563827,-4.50699170525539
"69","Rara",0.452932443666666,1.1342260165,1.75348194682119,0.106872594206939,0.990621330563827,-4.52875744129301
"3","Arnt",0.434874357,1.04987676566667,1.47959406040553,0.166614148877985,0.990621330563827,-4.55529865180677
"77","Tgs1",0.307127529333333,0.887732829916667,1.44641784212418,0.175522341298524,0.990621330563827,-4.55841616799207
"19","Itgb3bp",0.347248483,0.610445918916667,1.42465743070834,0.181582326039429,0.990621330563827,-4.56044595432018
"51","Nr2c2",0.220974224333333,0.593473902666667,1.20861308994508,0.251766643587803,0.990621330563827,-4.57981869770881
"8","Esr1",-1.516241102,2.07705255866667,-1.10542963780888,0.292206865103303,0.990621330563827,-4.58845939064656
"37","Ncor2",0.26598746,1.02167607441667,1.0981111099115,0.295254969113218,0.990621330563827,-4.58905455075141
"55","Nr3c1",0.26243611,0.9428360165,1.01815073794598,0.330145285223034,0.990621330563827,-4.59539074621345
"84","Gapdh",-0.245590658333334,0.8528534435,-0.977692661471262,0.348919486808733,0.990621330563827,-4.59847420989295
"39","Nono",0.270133969,0.828255695833333,0.966883890064732,0.354063727407264,0.990621330563827,-4.59928331397424
"61","Pgr",0.166472546333333,0.578628727833333,0.951526720481933,0.361466151684563,0.990621330563827,-4.60042198281123
"44","Nr1d2",0.173844861,0.7474511895,0.939597839334344,0.367291859018804,0.990621330563827,-4.60129749556106
"86","Hsp90ab1",0.282516856666667,0.87640294375,0.933337442115872,0.370375776794625,0.990621330563827,-4.60175379946069
"45","Nr1h2",0.231929172333334,0.891131725333333,0.910598069552207,0.38173104038347,0.990621330563827,-4.60339256195025
"32","Ncoa2",-0.445308070333333,1.00065753166667,-0.88180328423175,0.39645592598325,0.990621330563827,-4.60542489961971
"43","Nr1d1",0.113668322,0.63501401975,0.842258252600516,0.41730664666884,0.990621330563827,-4.60813557966543
"78","Thra",0.201614803666667,0.83240431775,0.797565315077802,0.441742400230132,0.990621330563827,-4.61108297957253
"73","Rora",0.381884021,1.21526309883333,0.78873075384049,0.446681300716688,0.990621330563827,-4.61165058860257
"15","Hdac4",0.258003379333334,0.890753078583333,0.757339369533409,0.464518045656331,0.990621330563827,-4.61362635316389
"74","Rxra",0.269746661333333,1.06214188741667,0.707566716456998,0.49370849582216,0.990621330563827,-4.61662422557523
"75","Rxrb",1.05997956333333,2.75029237725,0.675130395632839,0.513321052521439,0.990621330563827,-4.61848619864659
"14","Hdac3",0.199069885666667,0.804927038166667,0.671525501381752,0.515528999662076,0.990621330563827,-4.61868856729532
"21","Kat5",0.213701055666667,0.957414163,0.671011708675796,0.515844147117995,0.990621330563827,-4.61871733513046
"53","Nr2f2",0.315464054,1.52226615966667,0.598835373654196,0.561226664633986,0.990621330563827,-4.62256914070607
"81","Vdr",-0.475391074,1.44612615883333,-0.589000926033046,0.567577399634263,0.990621330563827,-4.62306430304516
"80","Trip4",0.272697748666667,1.022188478,0.571676863739346,0.578859265607008,0.990621330563827,-4.62391888376856
"54","Nr2f6",0.118550672666667,0.749815966333333,0.566662215156084,0.58214721458397,0.990621330563827,-4.62416201398718
"65","Ppargc1a",-0.233846189666667,0.914742716333333,-0.560241482177733,0.586371549350994,0.990621330563827,-4.62447052281494
"34","Ncoa4",0.285237451,1.5088473125,0.559520108483116,0.586847166467021,0.990621330563827,-4.62450498745987
"6","Crebbp",0.446466629,1.8888862955,0.554266029966036,0.590317421248913,0.990621330563827,-4.6247548079231
