"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43","Nr1d1",-0.681769322666667,0.42925180515,-6.73026854356284,3.719312799512e-06,0.000319860900758032,4.52038001313296
"78","Thra",-0.71018508925,0.62493931275,-3.43326583242521,0.00321023686610225,0.121145983341625,-2.20603324507557
"17","Hdac6",-0.633052699833333,0.5638648671,-3.30561008526722,0.00422602267470785,0.121145983341625,-2.47335760684918
"49","Nr1i3",-0.833507261416667,0.5882709777,-2.9883426791801,0.00832799078433098,0.139495320374833,-3.12785307329098
"61","Pgr",-0.490068582666667,0.4679034375,-2.94266018625143,0.00917495866432499,0.139495320374833,-3.2206103433673
"16","Hdac5",-0.649026645583334,0.5758774629,-2.91478891829523,0.00973223165405812,0.139495320374833,-3.27698539642095
"74","Rxra",-0.733508901333333,0.85480950255,-2.69025019593147,0.0155861957064881,0.191487547251139,-3.72439383458292
"9","Esr2",-0.504313728083334,0.6040463713,-2.4282054463352,0.0266918612125416,0.238489107146621,-4.22813970189121
"46","Nr1h3",-0.574701681,0.683919593,-2.41041411349705,0.0276695495240554,0.238489107146621,-4.26149428983412
"15","Hdac4",-0.6186226955,0.71669223335,-2.40931051169588,0.0277312915286768,0.238489107146621,-4.26355942333321
"64","Pparg",-0.357312389833334,0.5877847535,-2.27900739165165,0.0360005513640954,0.251618215304817,-4.5040781231436
"25","Med14",-0.524814319083334,0.6862332116,-2.25921674206055,0.0374411768479736,0.251618215304817,-4.54000838714529
"4","Brd8",-0.344577927,0.5380580469,-2.25125993419293,0.0380353116158444,0.251618215304817,-4.55440751345597
"86","Hsp90ab1",-0.491288821083333,0.69668673715,-2.20494942987028,0.0416701377274971,0.255973703183197,-4.63767266933248
"63","Ppard",-0.44825205525,0.67070720295,-2.16906416708485,0.0447043211893787,0.256304774819105,-4.70154283257701
"54","Nr2f6",-0.33967572475,0.7171941288,-2.0668915879111,0.0544879002028127,0.289065911712892,-4.88012894683058
"14","Hdac3",-0.484285458583333,0.7709501069,-2.00059937414539,0.0618392369077432,0.289065911712892,-4.99327853232467
"69","Rara",-0.440809571,1.1175883179,-1.99263600232948,0.0627801250303221,0.289065911712892,-5.0067202364145
"22","Med1",-0.909749493833333,1.0301880285,-1.95853563311859,0.0669566585940946,0.289065911712892,-5.06390527830073
"5","Cops2",0.348355032583333,0.87746850795,1.93846153759731,0.0695303707296298,0.289065911712892,-5.09728079453449
"31","Ncoa1",-0.292915045666667,0.8242558683,-1.92080573816411,0.0718668612048968,0.289065911712892,-5.12645625765514
"48","Nr1i2",-0.55031493675,0.93819626515,-1.90551265690307,0.0739470936939955,0.289065911712892,-5.15159011132017
"44","Nr1d2",-0.285798899666667,0.68581184055,-1.80582953150735,0.0888667865552572,0.312414620768774,-5.31219957603456
"77","Tgs1",-0.373183463666667,0.81221741025,-1.78524295355485,0.0922593036809856,0.312414620768774,-5.34465267661243
"52","Nr2f1",-0.291756824666667,0.4245838062,-1.78383588749813,0.0924952676558109,0.312414620768774,-5.34686161994487
"79","Thrb",-0.42541865425,0.7762254654,-1.77229354624206,0.0944509318603271,0.312414620768774,-5.36493719017779
"68","Psmc5",0.648974149,1.3986460981,1.7440998056222,0.0993804646204,0.316545183605718,-5.40875151275969
"10","Esrra",-0.588684764833333,0.6510218103,-1.66768767010189,0.113879713587697,0.349773406019354,-5.52503162148752
"30","Mta1",0.336278907916666,0.92962105605,1.58691793287751,0.1311442121165,0.371062865521521,-5.64387586150831
"39","Nono",-0.451641444,0.779687389,-1.57976277122594,0.132775388680309,0.371062865521521,-5.65419592041077
"3","Arnt",-0.361269473583333,0.92513399645,-1.57550035879679,0.13375521896706,0.371062865521521,-5.66032732683723
"45","Nr1h2",-0.33883209725,0.8187917206,-1.51639947650969,0.147980413169282,0.397697360392446,-5.74406666100523
"37","Ncor2",-0.3808876505,1.03922610115,-1.46474426370003,0.161425832063965,0.419737805671917,-5.81526561437503
"65","Ppargc1a",-0.487260676,0.9160967426,-1.43655526903471,0.169178166165159,0.419737805671917,-5.85331740210229
"11","Esrrg",-0.27269483025,0.41905324785,-1.43070906564993,0.170823525564152,0.419737805671917,-5.86113708501538
"29","Med4",-0.397637944333334,0.9166427665,-1.39774816141182,0.180346028089626,0.421955689897599,-5.90475639705778
"66","Ppargc1b",-0.67526850475,0.7531091946,-1.38668879569121,0.183635948709832,0.421955689897599,-5.91921234458164
"33","Ncoa3",0.560101569916667,1.27396533915,1.36914062819901,0.188955470993676,0.421955689897599,-5.9419628418712
"53","Nr2f2",-0.522790984916667,1.4023349696,-1.36136458194,0.191351998907051,0.421955689897599,-5.95197034350298
"41","Nr0b1",-0.500393148416667,0.43330729755,-1.26665535221305,0.222532724362777,0.478072191803318,-6.07014866446151
"26","Med16",-0.469549474583334,1.3173525261,-1.25137207541429,0.227918137952744,0.478072191803318,-6.08856497479245
"40","Notch2",1.36724540583333,2.89115876925,1.21385196991821,0.24156821321557,0.494639674679501,-6.13298841876826
"56","Nr3c2",0.625515901666667,1.6111396642,1.18256607123653,0.253423147635649,0.499367655537803,-6.16916372031149
"84","Gapdh",0.306248414833333,1.17755464625,1.17722515297686,0.25549042841469,0.499367655537803,-6.17525971162012
"85","Gusb",-0.456436533833333,1.08196456955,-1.12889380734651,0.274781494239154,0.525137966768161,-6.22935567307496
"18","Hdac7",0.535262463583333,1.0587761059,1.06587771473971,0.301535471814968,0.555003522010145,-6.2969526336292
"59","Nr6a1",-0.51807442775,0.72692321685,-1.05657942211275,0.305638552438938,0.555003522010145,-6.30664110553512
"62","Ppara",-0.290754535833333,0.58879683425,-1.04730897914523,0.30976940763357,0.555003522010145,-6.31622664461549
"75","Rxrb",1.25522021416667,3.24340437655,0.971249120753477,0.345180396136624,0.597794698154909,-6.39205237785038
"47","Nr1h4",-1.24714942933333,1.83270201125,-0.958507100583752,0.351378631629745,0.597794698154909,-6.40425785772115
"21","Kat5",-0.235112603,0.869960642,-0.9445088406884,0.358276156005777,0.597794698154909,-6.41750018958603
"32","Ncoa2",-0.339536814166667,0.917768279,-0.938115273329716,0.36145725934948,0.597794698154909,-6.42349028759169
"57","Nr4a1",-0.555647371833334,1.7875968663,-0.887251234904765,0.387450446606191,0.628693177511932,-6.46983401352206
"81","Vdr",-0.563693408666668,1.322108531,-0.844656099997416,0.410152676361268,0.653206114204982,-6.5068330584611
"58","Nr5a1",-0.7485326295,0.9404432585,-0.782541037434136,0.444771124162499,0.695460303235908,-6.55778171810918
"20","Kat2b",-0.168177722,0.68882145855,-0.767044523792258,0.453684219564419,0.696729337188215,-6.56993005808745
"28","Med24",-0.673680009,0.96058925405,-0.706042016860029,0.489823492335782,0.729091438222256,-6.61554225370458
"19","Itgb3bp",-0.21035825475,0.61237961945,-0.702927847617941,0.491712830428963,0.729091438222256,-6.61777552065967
"8","Esr1",0.8070359355,1.96722081765,0.647319831180842,0.526158904382317,0.766943487743717,-6.65608060502821
"83","B2m",1.674413612,2.0355839642,0.628077430386604,0.538385515504172,0.771685905555979,-6.66863734150173
"70","Rarb",-0.662890622,1.258651064,-0.601072893736975,0.555803160174456,0.783591340573823,-6.68564912235013
"51","Nr2c2",-0.102055636166667,0.59694716645,-0.555024843851732,0.586181300814669,0.813090191452605,-6.71300294702813
"42","Nr0b2",-0.258155087833333,0.59364653155,-0.534346658957179,0.60009172211163,0.819172827009526,-6.72460327899787
"67","Psmc3",-0.236087099083334,1.1386037739,-0.518421714045246,0.610914576228362,0.820916461806861,-6.73324691830579
"27","Med17",0.153988740666666,1.1604754054,0.472918344322777,0.642348164007667,0.848652078487692,-6.75654643913397
"7","Ddx5",0.0796166302499999,0.7949940488,0.449714652930395,0.658655735493896,0.848652078487692,-6.7676260001487
"1","Ahr",-0.542322214416667,0.9710972032,-0.411433192604265,0.685948067419307,0.848652078487692,-6.78471448958262
"71","Rarg",-0.272276766333333,0.74381229485,-0.388295180735303,0.702666634272016,0.848652078487692,-6.79432110448892
"76","Rxrg",2.38931563375,6.6490717843,0.381299465278858,0.707753001978208,0.848652078487692,-6.79711818329284
"55","Nr3c1",0.0965957489166664,0.91278906145,0.376769430577458,0.711054275801351,0.848652078487692,-6.79890275806815
"50","Nr2c1",-0.0447635424999999,0.40821087335,-0.359341808564642,0.723809409777868,0.848652078487692,-6.80557261474008
"72","Rbpj",0.0583190192499999,0.53975169435,0.356543268940472,0.725865579815419,0.848652078487692,-6.80661469605792
"73","Rora",0.12722214575,1.090755904,0.341721114169155,0.736791499737736,0.848652078487692,-6.81200009661861
"35","Ncoa6",1.67713172433333,3.4976666407,0.336070074825495,0.740972565674105,0.848652078487692,-6.81399395661522
"24","Med13",-0.34898885875,1.17528490515,-0.323274924481258,0.750470104765486,0.848652078487692,-6.8183872221528
"13","Hdac2",-0.265608404833333,1.2189747431,-0.311962808494922,0.758901392863357,0.848652078487692,-6.82213101631193
"23","Med12",2.58565286875,5.7521547788,0.305007977521585,0.764100705465323,0.848652078487692,-6.82436732532562
"36","Ncor1",-0.33046535025,1.29134202725,-0.283563111978269,0.780204718683125,0.848652078487692,-6.83094878605282
"2","Ar",-0.24148252825,1.3091669173,-0.271919520002736,0.788992311289186,0.848652078487692,-6.83432325351816
"80","Trip4",-0.107322577333334,1.1236779983,-0.26800407078186,0.791954021020208,0.848652078487692,-6.83542650140139
"12","Hdac1",-0.268103273916667,1.2036863603,-0.25829544573775,0.799311841366314,0.848652078487692,-6.83809362854249
"6","Crebbp",-0.128009392916666,1.5865817958,-0.232149688254825,0.819221820083769,0.85905997606165,-6.84479058801795
"38","Nfkb2",0.10918456475,1.23738161875,0.219250212392414,0.829092767594384,0.85905997606165,-6.84783330732126
"34","Ncoa4",0.05733932925,1.77069369385,0.100213133070915,0.921359499161847,0.943296630094272,-6.86773098394802
"60","Nrip1",0.00540953724999982,0.81649164445,0.0287204851353287,0.977425424948807,0.988924547595263,-6.87256092648608
"82","Actb",-0.0119470183333332,2.0734126938,-0.00583084686888358,0.995416258783605,0.995416258783605,-6.87297544948023
