target,Treatment,sex,ID,log_fold_change
AHR,control,m,2,-0.12688348090637894
AHR,control,m,3,-0.07310507424099928
AHR,control,m,4,-0.079829662902137985
AHR,ecig0,m,5,-0.07063723033654588
AHR,ecig0,m,6,-0.15738203388707916
AHR,ecig0,m,7,1.1287173270760202
AHR,ecig3,m,8,-0.1769388689973834
AHR,ecig3,m,9,-0.23533868815619544
AHR,ecig3,m,10,-0.24298485004605988
AHR,ecig3,m,11,-0.23274983019348483
AHR,ecig6,m,12,0.09460861012726289
AHR,ecig6,m,13,-0.3397198758566943
AHR,ecig6,m,14,0.22131153324224048
AHR,control,f,15,0
AHR,control,f,16,-0.036604464794751025
AHR,control,f,17,-0.022412405649172497
AHR,ecig0,f,18,0.16896109246429394
AHR,ecig0,f,19,0.21474823645277796
AHR,ecig0,f,20,0.03890258798764951
AHR,ecig3,f,21,-0.2902053182559004
AHR,ecig3,f,22,-0.1908846856065092
AHR,ecig3,f,23,-0.12597298558149267
AHR,ecig3,f,24,-0.2960410857518405
AHR,ecig6,f,25,-0.39215075184948434
AHR,ecig6,f,26,-0.4041885199340912
AHR,ecig6,f,27,-0.3240234494107855
AR,control,m,2,-0.08499003949980956
AR,control,m,3,-0.28691192969133744
AR,control,m,4,-0.02633843885262177
AR,ecig0,m,5,0.09810964918283384
AR,ecig0,m,6,0.24498910775719118
AR,ecig0,m,7,0.7616013133739377
AR,ecig3,m,8,-0.08549288000456619
AR,ecig3,m,9,-0.0665279902777346
AR,ecig3,m,10,-0.03985673266190602
AR,ecig3,m,11,-0.026009352861363067
AR,ecig6,m,12,0.047889356860204804
AR,ecig6,m,13,-0.7434730462110573
AR,ecig6,m,14,-0.15168449936514522
AR,control,f,15,0
AR,control,f,16,-0.08606459617233024
AR,control,f,17,-0.14643917210269816
AR,ecig0,f,18,-0.11439573318425049
AR,ecig0,f,19,-0.0016312213405042697
AR,ecig0,f,20,-0.15973897834112905
AR,ecig3,f,21,-0.1701358921253732
AR,ecig3,f,22,-0.18421265678261153
AR,ecig3,f,23,-0.15952307962823867
AR,ecig3,f,24,-0.29168457965459094
AR,ecig6,f,25,-0.6220410379081567
AR,ecig6,f,26,-0.7204608683985221
AR,ecig6,f,27,-0.4229479265858822
ARNT,control,m,2,0.14294776600698764
ARNT,control,m,3,0.07950027588088225
ARNT,control,m,4,0.1420703839816274
ARNT,ecig0,m,5,0.051131209089508835
ARNT,ecig0,m,6,-0.28659012862597116
ARNT,ecig0,m,7,-1.0193213408837547
ARNT,ecig3,m,8,-0.07319700880167454
ARNT,ecig3,m,9,-0.14424008777837433
ARNT,ecig3,m,10,-0.009198031723511592
ARNT,ecig3,m,11,-0.10041012040969821
ARNT,ecig6,m,12,0.12657137300687307
ARNT,ecig6,m,13,-0.12989444312900783
ARNT,ecig6,m,14,0.10604112730258922
ARNT,control,f,15,0
ARNT,control,f,16,-0.07221360401183884
ARNT,control,f,17,-0.03160616274674598
ARNT,ecig0,f,18,-0.03593196378443835
ARNT,ecig0,f,19,0.10197969080708975
ARNT,ecig0,f,20,-0.03570077274776819
ARNT,ecig3,f,21,-0.17832270388745086
ARNT,ecig3,f,22,-0.09223384469746884
ARNT,ecig3,f,23,-0.16812440969434608
ARNT,ecig3,f,24,-0.18008944893200077
ARNT,ecig6,f,25,0.01636712127624888
ARNT,ecig6,f,26,-0.03175270414863548
ARNT,ecig6,f,27,-0.14333079657347084
BRD8,control,m,2,0.015530498712298757
BRD8,control,m,3,0.22492967296612532
BRD8,control,m,4,0.19705230856967043
BRD8,ecig0,m,5,0.06577360910860058
BRD8,ecig0,m,6,0.1518341714789888
BRD8,ecig0,m,7,-1.868914986316256
BRD8,ecig3,m,8,0.23644966945819262
BRD8,ecig3,m,9,0.31592158831348344
BRD8,ecig3,m,10,0.37058863552606236
BRD8,ecig3,m,11,0.31429602633689746
BRD8,ecig6,m,12,0.088699391312379125
BRD8,ecig6,m,13,-0.3481685837149993
BRD8,ecig6,m,14,0.39308526936802196
BRD8,control,f,15,0
BRD8,control,f,16,0.15968756241786977
BRD8,control,f,17,0.24972623618095832
BRD8,ecig0,f,18,0.4989062233317828
BRD8,ecig0,f,19,0.290639403509646
BRD8,ecig0,f,20,0.567018775300694
BRD8,ecig3,f,21,0.3152502914231525
BRD8,ecig3,f,22,0.27792528123077975
BRD8,ecig3,f,23,0.2515463237407408
BRD8,ecig3,f,24,0.21327547730199278
BRD8,ecig6,f,25,-0.20529962736087667
BRD8,ecig6,f,26,-0.03698550856326211
BRD8,ecig6,f,27,0.1065596213671215
COPS2,control,m,2,0.22598749237088828
COPS2,control,m,3,0.3257915791933167
COPS2,control,m,4,0.3654469829941238
COPS2,ecig0,m,5,-0.09533884869074381
COPS2,ecig0,m,6,-0.06201603229072455
COPS2,ecig0,m,7,-0.9620157657591799
COPS2,ecig3,m,8,0.5245115939389655
COPS2,ecig3,m,9,0.34299050655358443
COPS2,ecig3,m,10,0.37086588415206934
COPS2,ecig3,m,11,0.32209902485450465
COPS2,ecig6,m,12,0.14934158290889257
COPS2,ecig6,m,13,-0.19216611009205062
COPS2,ecig6,m,14,0.12760450795199188
COPS2,control,f,15,0
COPS2,control,f,16,0.19918149372900124
COPS2,control,f,17,0.15626756063713212
COPS2,ecig0,f,18,0.28974847513447977
COPS2,ecig0,f,19,0.0679244684276201
COPS2,ecig0,f,20,0.2665282253889431
COPS2,ecig3,f,21,0.37930104566056944
COPS2,ecig3,f,22,0.32424657284357067
COPS2,ecig3,f,23,0.39390310766024234
COPS2,ecig3,f,24,0.3718198482083294
COPS2,ecig6,f,25,0.18618115213025715
COPS2,ecig6,f,26,0.18662890414580832
COPS2,ecig6,f,27,0.21884350871979089
CREBBP,control,m,2,0.032556454237057865
CREBBP,control,m,3,-0.05759179444445052
CREBBP,control,m,4,-0.0025254610456218827
CREBBP,ecig0,m,5,-0.5346436615330236
CREBBP,ecig0,m,6,0.05558494787535728
CREBBP,ecig0,m,7,-1.3780307909269225
CREBBP,ecig3,m,8,-0.11651341899774739
CREBBP,ecig3,m,9,-0.17581632814355141
CREBBP,ecig3,m,10,-0.09646482128652589
CREBBP,ecig3,m,11,-0.23493861929195747
CREBBP,ecig6,m,12,-0.0318414477913569
CREBBP,ecig6,m,13,-0.4255341956906298
CREBBP,ecig6,m,14,-0.1861102896692775
CREBBP,control,f,15,0
CREBBP,control,f,16,-0.12371200949005898
CREBBP,control,f,17,-0.17536183305609765
CREBBP,ecig0,f,18,-0.4043216353981744
CREBBP,ecig0,f,19,-0.13314129245624057
CREBBP,ecig0,f,20,-0.014975158576298686
CREBBP,ecig3,f,21,-0.30150959665307364
CREBBP,ecig3,f,22,-0.17401195434954217
CREBBP,ecig3,f,23,-0.17736813777119978
CREBBP,ecig3,f,24,-0.11968145867211408
CREBBP,ecig6,f,25,-0.17744712804206217
CREBBP,ecig6,f,26,-0.3270754721248225
CREBBP,ecig6,f,27,-0.35526795472073985
DDX5,control,m,2,-0.07203461157641819
DDX5,control,m,3,0.23266855209465545
DDX5,control,m,4,0.1260944210817434
DDX5,ecig0,m,5,-0.040506837040541595
DDX5,ecig0,m,6,0.10171177411094937
DDX5,ecig0,m,7,-0.9781982352360888
DDX5,ecig3,m,8,0.4408944920433803
DDX5,ecig3,m,9,0.2777362343935031
DDX5,ecig3,m,10,0.428732880218556
DDX5,ecig3,m,11,0.3760526309773591
DDX5,ecig6,m,12,-0.0045994373037497975
DDX5,ecig6,m,13,-0.4103622839091652
DDX5,ecig6,m,14,0.1684298949339448
DDX5,control,f,15,0
DDX5,control,f,16,0.15953554227005934
DDX5,control,f,17,0.03169924122140649
DDX5,ecig0,f,18,0.2828473624838828
DDX5,ecig0,f,19,0.19957030407140033
DDX5,ecig0,f,20,0.33154498488244516
DDX5,ecig3,f,21,0.3503073416281918
DDX5,ecig3,f,22,0.22844678702346544
DDX5,ecig3,f,23,0.34771125894558635
DDX5,ecig3,f,24,0.2967920351790256
DDX5,ecig6,f,25,-0.4122794235395514
DDX5,ecig6,f,26,-0.22660972137192584
DDX5,ecig6,f,27,-0.05538699055020858
ESR1,control,m,2,-0.33868517555559796
ESR1,control,m,3,-0.0396552231828087
ESR1,control,m,4,-0.2918779011178068
ESR1,ecig0,m,5,-0.7663861851550167
ESR1,ecig0,m,6,0.43289594444059104
ESR1,ecig0,m,7,-0.21018371862852467
ESR1,ecig3,m,8,-0.16199062250269602
ESR1,ecig3,m,9,-0.14603603273250484
ESR1,ecig3,m,10,-0.19161197407603126
ESR1,ecig3,m,11,-0.2340572034646531
ESR1,ecig6,m,12,-0.13047512999064273
ESR1,ecig6,m,13,-0.32794418448631
ESR1,ecig6,m,14,0.4174458207371349
ESR1,control,f,15,0
ESR1,control,f,16,0.12567508629778346
ESR1,control,f,17,0.15170153766290115
ESR1,ecig0,f,18,-0.3856252644274763
ESR1,ecig0,f,19,-1.3525256031022985
ESR1,ecig0,f,20,-0.17520349127837925
ESR1,ecig3,f,21,-0.10597225163958175
ESR1,ecig3,f,22,-0.12999685353353274
ESR1,ecig3,f,23,-0.2585008391125681
ESR1,ecig3,f,24,-0.12450305611266342
ESR1,ecig6,f,25,-0.31401299793497456
ESR1,ecig6,f,26,-0.2168704979222089
ESR1,ecig6,f,27,0.07741570336690931
ESR2,control,m,2,0.11714377580866761
ESR2,control,m,3,0.07963393319895751
ESR2,control,m,4,0.24066553434146815
ESR2,ecig0,m,5,-0.05319765959774385
ESR2,ecig0,m,6,0.45641391285183963
ESR2,ecig0,m,7,0.10644234008081135
ESR2,ecig3,m,8,0.15097762072932705
ESR2,ecig3,m,9,0.015815152676200088
ESR2,ecig3,m,10,0.18216432828011556
ESR2,ecig3,m,11,0.15386750868770208
ESR2,ecig6,m,12,0.08857325974419676
ESR2,ecig6,m,13,-1.6576340133535343
ESR2,ecig6,m,14,0.016982005145392998
ESR2,control,f,15,0
ESR2,control,f,16,0.10971357283769226
ESR2,control,f,17,0.09255907750478513
ESR2,ecig0,f,18,0.26996628896942104
ESR2,ecig0,f,19,0.3022516355923846
ESR2,ecig0,f,20,0.19158861414836956
ESR2,ecig3,f,21,0.1329263570393359
ESR2,ecig3,f,22,-0.009848858574137708
ESR2,ecig3,f,23,-0.27994621600367
ESR2,ecig3,f,24,-0.21262507189335916
ESR2,ecig6,f,25,-0.5972789125248291
ESR2,ecig6,f,26,-0.5578471740108003
ESR2,ecig6,f,27,-0.4449366626191578
ESRRA,control,m,2,0.11511513466788817
ESRRA,control,m,3,0.15435168533272753
ESRRA,control,m,4,0.1483444511512556
ESRRA,ecig0,m,5,0.6675151107011514
ESRRA,ecig0,m,6,0.8779678899398005
ESRRA,ecig0,m,7,-0.09970601124984038
ESRRA,ecig3,m,8,0.11165527651572403
ESRRA,ecig3,m,9,-0.2489786582897256
ESRRA,ecig3,m,10,-0.010081253730789629
ESRRA,ecig3,m,11,-0.057342963050034765
ESRRA,ecig6,m,12,0.3981470887451122
ESRRA,ecig6,m,13,0.32887256099293816
ESRRA,ecig6,m,14,0.22804166085530103
ESRRA,control,f,15,0
ESRRA,control,f,16,-0.00971225116210471
ESRRA,control,f,17,-0.05560909048100938
ESRRA,ecig0,f,18,0.43183433205788335
ESRRA,ecig0,f,19,0.36368011753757207
ESRRA,ecig0,f,20,0.13531828117888328
ESRRA,ecig3,f,21,-0.12218151278610447
ESRRA,ecig3,f,22,-0.25402632925702
ESRRA,ecig3,f,23,-0.3450322123961754
ESRRA,ecig3,f,24,-0.42397552257907917
ESRRA,ecig6,f,25,0.1061050660736679
ESRRA,ecig6,f,26,0.17752816531689547
ESRRA,ecig6,f,27,-0.06453589417842803
ESRRB,control,m,2,-1.008750853204011
ESRRB,control,m,3,-0.5423569531119217
ESRRB,control,m,4,-0.9605287377865982
